,X,Y,AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
0,0.0,1.0,2683.0,5946.0,10730.0,6385.0,-51.0,-72.0,-70.0,-77.0,2
1,0.0,1.0,2658.0,6096.0,11386.0,6541.0,-52.0,-74.0,-72.0,-77.0,2
2,0.0,1.0,2906.0,6129.0,10676.0,6888.0,-52.0,-74.0,-70.0,-77.0,2
3,0.0,1.0,2763.0,5810.0,10617.0,6710.0,-53.0,-72.0,-72.0,-77.0,2
4,0.0,1.0,2871.0,5745.0,12164.0,6919.0,-53.0,-74.0,-73.0,-77.0,2
5,0.0,1.0,2681.0,5986.0,11873.0,6701.0,-53.0,-74.0,-73.0,-77.0,2
6,0.0,1.0,2625.0,6026.0,12016.0,6773.0,-53.0,-74.0,-73.0,-77.0,2
7,0.0,1.0,2787.0,5726.0,10727.0,6848.0,-53.0,-75.0,-71.0,-80.0,2
8,0.0,1.0,2707.0,5693.0,10608.0,6541.0,-53.0,-75.0,-71.0,-79.0,2
9,0.0,1.0,2906.0,5960.0,10734.0,6579.0,-53.0,-74.0,-72.0,-79.0,2
10,0.0,1.0,2686.0,5920.0,10858.0,6579.0,-52.0,-73.0,-71.0,-80.0,2
11,0.0,1.0,2607.0,6115.0,10730.0,6544.0,-52.0,-74.0,-72.0,-79.0,2
12,0.0,1.0,2898.0,6002.0,10666.0,6460.0,-53.0,-74.0,-72.0,-78.0,2
13,0.0,1.0,2744.0,6129.0,10615.0,6426.0,-53.0,-74.0,-72.0,-78.0,2
14,0.0,1.0,2857.0,6005.0,10617.0,6541.0,-52.0,-74.0,-72.0,-78.0,2
15,0.0,1.0,2744.0,6075.0,10708.0,6548.0,-52.0,-74.0,-72.0,-78.0,2
16,0.0,1.0,2716.0,6145.0,10680.0,6469.0,-52.0,-74.0,-72.0,-78.0,2
17,0.0,1.0,2789.0,6112.0,10589.0,6741.0,-52.0,-74.0,-71.0,-79.0,2
18,0.0,1.0,2805.0,5801.0,10469.0,6854.0,-53.0,-75.0,-71.0,-79.0,2
19,0.0,1.0,2604.0,5805.0,10760.0,6469.0,-52.0,-76.0,-71.0,-79.0,2
20,0.0,1.0,2566.0,6166.0,10526.0,6579.0,-52.0,-75.0,-71.0,-79.0,2
21,0.0,1.0,2638.0,6204.0,10582.0,6541.0,-52.0,-74.0,-72.0,-78.0,2
22,0.0,1.0,2648.0,6091.0,10472.0,6582.0,-52.0,-75.0,-72.0,-79.0,2
23,0.0,1.0,2757.0,5740.0,10470.0,6616.0,-52.0,-75.0,-71.0,-78.0,2
24,0.0,1.0,2566.0,5967.0,10465.0,6773.0,-53.0,-76.0,-71.0,-79.0,2
25,0.0,1.0,2710.0,5873.0,10460.0,6613.0,-53.0,-76.0,-71.0,-79.0,2
26,0.0,1.0,2604.0,5775.0,10523.0,6588.0,-53.0,-76.0,-71.0,-79.0,2
27,0.0,1.0,2863.0,5883.0,10582.0,6807.0,-53.0,-75.0,-71.0,-79.0,2
28,0.0,1.0,2751.0,5932.0,10737.0,6660.0,-53.0,-75.0,-71.0,-79.0,2
29,0.0,1.0,2638.0,6108.0,10502.0,6579.0,-52.0,-75.0,-71.0,-79.0,2
30,0.0,1.0,2775.0,6173.0,10558.0,6663.0,-52.0,-74.0,-70.0,-78.0,2
31,0.0,1.0,2566.0,5808.0,10556.0,6704.0,-52.0,-75.0,-71.0,-79.0,2
32,0.0,1.0,2829.0,5941.0,10580.0,6616.0,-53.0,-75.0,-72.0,-79.0,2
33,0.0,1.0,2597.0,5892.0,10413.0,6776.0,-52.0,-75.0,-71.0,-79.0,2
34,0.0,1.0,2714.0,6082.0,10528.0,6579.0,-53.0,-75.0,-71.0,-79.0,2
35,0.0,1.0,2651.0,5960.0,10502.0,6776.0,-53.0,-74.0,-71.0,-79.0,2
36,0.0,1.0,2676.0,5869.0,10594.0,6741.0,-53.0,-75.0,-71.0,-79.0,2
37,0.0,1.0,2713.0,6101.0,10547.0,6860.0,-53.0,-75.0,-71.0,-79.0,2
38,0.0,1.0,2794.0,6049.0,10467.0,6816.0,-53.0,-75.0,-71.0,-79.0,2
39,0.0,1.0,2794.0,5955.0,10556.0,6694.0,-53.0,-75.0,-71.0,-79.0,2
40,0.0,1.0,2714.0,6070.0,10526.0,6779.0,-53.0,-75.0,-70.0,-79.0,2
41,0.0,1.0,2604.0,5927.0,10348.0,6741.0,-53.0,-75.0,-71.0,-79.0,2
42,0.0,1.0,2685.0,5970.0,10467.0,6816.0,-53.0,-75.0,-70.0,-79.0,2
43,0.0,1.0,2676.0,6070.0,10641.0,6698.0,-53.0,-74.0,-71.0,-78.0,2
44,0.0,1.0,2901.0,5932.0,10528.0,6579.0,-53.0,-74.0,-71.0,-79.0,2
45,0.0,1.0,2651.0,6075.0,10383.0,6854.0,-53.0,-75.0,-71.0,-79.0,2
46,0.0,1.0,2651.0,5984.0,10699.0,6891.0,-52.0,-75.0,-71.0,-79.0,2
47,0.0,1.0,2648.0,6112.0,10699.0,6857.0,-53.0,-75.0,-71.0,-79.0,2
48,0.0,1.0,2682.0,5972.0,10502.0,6666.0,-53.0,-74.0,-71.0,-78.0,2
49,0.0,1.0,2682.0,5974.0,10636.0,6785.0,-53.0,-74.0,-71.0,-78.0,2
50,0.0,1.0,2686.0,6051.0,10545.0,6616.0,-53.0,-74.0,-71.0,-78.0,2
51,0.0,1.0,2655.0,5925.0,10530.0,6732.0,-53.0,-74.0,-71.0,-79.0,2
52,0.0,1.0,2607.0,6009.0,10584.0,6616.0,-53.0,-74.0,-72.0,-78.0,2
53,0.0,1.0,2796.0,6054.0,10791.0,6579.0,-53.0,-74.0,-71.0,-79.0,2
54,0.0,1.0,2679.0,5782.0,10786.0,6616.0,-53.0,-75.0,-70.0,-79.0,2
55,0.0,1.0,2744.0,5831.0,10699.0,6466.0,-52.0,-74.0,-70.0,-79.0,2
56,0.0,1.0,2716.0,6232.0,10816.0,6657.0,-52.0,-74.0,-70.0,-80.0,2
57,0.0,1.0,2823.0,5939.0,10666.0,6776.0,-52.0,-74.0,-71.0,-80.0,2
58,0.0,1.0,2748.0,5871.0,10605.0,6854.0,-53.0,-74.0,-71.0,-80.0,2
59,0.0,1.0,2788.0,6026.0,11871.0,7051.0,-53.0,-74.0,-72.0,-79.0,2
60,0.0,1.0,2601.0,5941.0,11583.0,6732.0,-52.0,-73.0,-72.0,-80.0,2
61,0.0,1.0,2625.0,6077.0,11817.0,6891.0,-52.0,-73.0,-73.0,-80.0,2
62,0.0,1.0,2641.0,6037.0,11820.0,6729.0,-52.0,-72.0,-72.0,-78.0,2
63,0.0,1.0,2648.0,6141.0,11752.0,6579.0,-53.0,-74.0,-73.0,-78.0,2
64,0.0,1.0,2894.0,6061.0,11468.0,6741.0,-53.0,-73.0,-72.0,-79.0,2
65,0.0,1.0,2604.0,6098.0,11927.0,6779.0,-52.0,-73.0,-72.0,-79.0,2
66,0.0,1.0,2686.0,6009.0,11632.0,6694.0,-53.0,-73.0,-72.0,-79.0,2
67,0.0,1.0,2651.0,6033.0,11848.0,6816.0,-53.0,-73.0,-72.0,-79.0,2
68,0.0,1.0,2613.0,5998.0,10875.0,6735.0,-52.0,-74.0,-72.0,-80.0,2
69,0.0,1.0,2843.0,5780.0,11571.0,6748.0,-52.0,-73.0,-71.0,-77.0,2
70,0.0,1.0,2683.0,5920.0,10945.0,6916.0,-53.0,-74.0,-72.0,-79.0,2
71,0.0,1.0,2719.0,6129.0,11611.0,7041.0,-52.0,-74.0,-71.0,-80.0,2
72,0.0,1.0,2757.0,5908.0,12133.0,6935.0,-53.0,-75.0,-71.0,-81.0,2
73,0.0,1.0,2655.0,6009.0,11583.0,6450.0,-53.0,-74.0,-72.0,-80.0,2
74,0.0,1.0,2679.0,5775.0,11292.0,6623.0,-53.0,-75.0,-72.0,-79.0,2
75,0.0,1.0,2686.0,5726.0,11201.0,6832.0,-53.0,-76.0,-71.0,-77.0,2
76,0.0,1.0,2651.0,5777.0,11262.0,6851.0,-53.0,-74.0,-71.0,-77.0,2
77,0.0,1.0,2655.0,5808.0,10873.0,6654.0,-53.0,-76.0,-70.0,-77.0,2
78,0.0,1.0,2716.0,5993.0,10840.0,6704.0,-53.0,-75.0,-70.0,-79.0,2
79,0.0,1.0,2815.0,5780.0,10575.0,7387.0,-54.0,-74.0,-70.0,-78.0,2
80,0.0,1.0,2653.0,5955.0,11939.0,6929.0,-52.0,-73.0,-71.0,-78.0,2
81,0.0,1.0,2785.0,5810.0,11487.0,7038.0,-53.0,-74.0,-71.0,-78.0,2
82,0.0,1.0,2723.0,6033.0,10896.0,7054.0,-52.0,-74.0,-69.0,-78.0,2
83,0.0,1.0,2850.0,5967.0,10725.0,7127.0,-53.0,-74.0,-71.0,-78.0,2
84,0.0,1.0,2995.0,6110.0,10610.0,6616.0,-53.0,-74.0,-71.0,-77.0,2
85,0.0,1.0,2906.0,5937.0,10723.0,7097.0,-53.0,-75.0,-71.0,-78.0,2
86,0.0,1.0,2855.0,5719.0,10823.0,6921.0,-53.0,-76.0,-72.0,-78.0,2
87,0.0,1.0,2683.0,5773.0,10915.0,7010.0,-53.0,-76.0,-71.0,-80.0,2
88,0.0,1.0,2946.0,5967.0,10699.0,7179.0,-52.0,-73.0,-70.0,-78.0,2
89,0.0,1.0,2773.0,5583.0,11665.0,7209.0,-53.0,-74.0,-72.0,-79.0,2
90,0.0,1.0,2757.0,6077.0,10470.0,7173.0,-53.0,-73.0,-71.0,-79.0,2
91,0.0,1.0,2829.0,5887.0,10704.0,6820.0,-53.0,-73.0,-71.0,-81.0,2
92,0.0,1.0,3061.0,5714.0,11226.0,6663.0,-52.0,-74.0,-70.0,-84.0,2
93,0.0,1.0,3026.0,5845.0,11086.0,6779.0,-53.0,-75.0,-71.0,-81.0,2
94,0.0,1.0,2754.0,5965.0,11201.0,7041.0,-53.0,-73.0,-72.0,-80.0,2
95,0.0,1.0,2737.0,5941.0,11046.0,6423.0,-52.0,-73.0,-72.0,-79.0,2
96,0.0,1.0,2566.0,5962.0,10929.0,6588.0,-53.0,-74.0,-72.0,-77.0,2
97,0.0,1.0,2599.0,5780.0,10849.0,6579.0,-52.0,-74.0,-72.0,-79.0,2
98,0.0,1.0,2599.0,5934.0,10959.0,6891.0,-53.0,-73.0,-70.0,-81.0,2
99,0.0,1.0,2819.0,5934.0,10671.0,6858.0,-52.0,-75.0,-72.0,-79.0,2
100,0.0,1.0,2873.0,5803.0,11984.0,6977.0,-52.0,-76.0,-73.0,-80.0,2
101,0.0,1.0,2860.0,5808.0,10856.0,6738.0,-53.0,-75.0,-73.0,-79.0,2
102,0.0,1.0,2683.0,6056.0,12047.0,6779.0,-53.0,-73.0,-73.0,-81.0,2
103,0.0,1.0,2850.0,6084.0,11780.0,6860.0,-52.0,-73.0,-72.0,-80.0,2
104,0.0,1.0,2939.0,6129.0,11880.0,6806.0,-53.0,-74.0,-71.0,-82.0,2
105,0.0,1.0,2641.0,6005.0,11883.0,6729.0,-52.0,-74.0,-71.0,-82.0,2
106,0.0,1.0,2679.0,6138.0,11784.0,6769.0,-52.0,-73.0,-72.0,-82.0,2
107,0.0,1.0,2719.0,6173.0,11841.0,6660.0,-52.0,-73.0,-72.0,-81.0,2
108,0.0,1.0,2685.0,6195.0,11939.0,6837.0,-52.0,-73.0,-71.0,-82.0,2
109,0.0,1.0,2773.0,5946.0,10908.0,6735.0,-53.0,-72.0,-71.0,-82.0,2
110,0.0,1.0,2979.0,5998.0,11046.0,6741.0,-53.0,-73.0,-71.0,-81.0,2
111,0.0,1.0,2719.0,5967.0,11993.0,6820.0,-53.0,-72.0,-72.0,-81.0,2
112,0.0,1.0,2623.0,6005.0,11027.0,6710.0,-53.0,-74.0,-70.0,-81.0,2
113,0.0,1.0,2742.0,6091.0,10711.0,6654.0,-54.0,-74.0,-71.0,-81.0,2
114,0.0,1.0,2737.0,5857.0,10734.0,6779.0,-54.0,-74.0,-70.0,-81.0,2
115,0.0,1.0,2757.0,5981.0,10791.0,6626.0,-54.0,-74.0,-70.0,-80.0,2
116,0.0,1.0,2683.0,6054.0,10793.0,6741.0,-54.0,-74.0,-70.0,-81.0,2
117,0.0,1.0,2679.0,5923.0,10903.0,6779.0,-54.0,-74.0,-71.0,-81.0,2
118,0.0,1.0,2787.0,5864.0,10753.0,6579.0,-54.0,-74.0,-70.0,-80.0,2
119,0.0,1.0,2623.0,6049.0,10636.0,6704.0,-54.0,-74.0,-71.0,-78.0,2
120,1.0,0.0,2232.0,6891.0,10003.0,6351.0,-50.0,-63.0,-73.0,-76.0,2
121,1.0,0.0,2332.0,6916.0,9912.0,6694.0,-54.0,-66.0,-74.0,-79.0,2
122,1.0,0.0,2051.0,8669.0,9947.0,6735.0,-55.0,-66.0,-73.0,-80.0,2
123,1.0,0.0,2154.0,6794.0,9825.0,6510.0,-54.0,-65.0,-73.0,-77.0,2
124,1.0,0.0,2235.0,8791.0,9823.0,6504.0,-55.0,-66.0,-73.0,-78.0,2
125,1.0,0.0,2295.0,6797.0,9823.0,6504.0,-53.0,-64.0,-72.0,-78.0,2
126,1.0,0.0,2351.0,6914.0,9916.0,6507.0,-54.0,-66.0,-74.0,-78.0,2
127,1.0,0.0,2348.0,7113.0,9945.0,6535.0,-54.0,-66.0,-74.0,-77.0,2
128,1.0,0.0,2023.0,6682.0,9944.0,6657.0,-55.0,-67.0,-75.0,-75.0,2
129,1.0,0.0,2201.0,6654.0,9825.0,8524.0,-54.0,-65.0,-71.0,-76.0,2
130,1.0,0.0,2248.0,7966.0,9912.0,7936.0,-55.0,-66.0,-73.0,-79.0,2
131,1.0,0.0,2217.0,7294.0,9940.0,6782.0,-55.0,-66.0,-73.0,-78.0,2
132,1.0,0.0,2210.0,6940.0,9940.0,8416.0,-55.0,-66.0,-73.0,-77.0,2
133,1.0,0.0,2276.0,6401.0,10001.0,7476.0,-54.0,-66.0,-74.0,-76.0,2
134,1.0,0.0,2365.0,6431.0,9940.0,6698.0,-55.0,-66.0,-75.0,-77.0,2
135,1.0,0.0,2414.0,6921.0,10090.0,6548.0,-54.0,-66.0,-75.0,-77.0,2
136,1.0,0.0,2395.0,6935.0,10057.0,6663.0,-55.0,-65.0,-75.0,-78.0,2
137,1.0,0.0,2337.0,6973.0,9940.0,6623.0,-55.0,-64.0,-76.0,-78.0,2
138,1.0,0.0,2248.0,7186.0,9879.0,6588.0,-55.0,-64.0,-76.0,-78.0,2
139,1.0,0.0,2283.0,6858.0,9966.0,6579.0,-55.0,-65.0,-76.0,-79.0,2
140,1.0,0.0,2341.0,6909.0,9912.0,6691.0,-55.0,-65.0,-76.0,-79.0,2
141,1.0,0.0,2083.0,7391.0,10020.0,6426.0,-54.0,-64.0,-76.0,-76.0,2
142,1.0,0.0,2451.0,6513.0,10132.0,6501.0,-54.0,-66.0,-75.0,-77.0,2
143,1.0,0.0,2351.0,6562.0,10139.0,6460.0,-55.0,-66.0,-74.0,-76.0,2
144,1.0,0.0,2248.0,6792.0,9907.0,6235.0,-55.0,-66.0,-75.0,-76.0,2
145,1.0,0.0,2330.0,6895.0,9823.0,7482.0,-54.0,-66.0,-73.0,-76.0,2
146,1.0,0.0,2184.0,6808.0,9797.0,6626.0,-55.0,-66.0,-77.0,-78.0,2
147,1.0,0.0,2058.0,6551.0,9816.0,7252.0,-56.0,-65.0,-76.0,-79.0,2
148,1.0,0.0,2126.0,6602.0,9998.0,6982.0,-56.0,-66.0,-74.0,-79.0,2
149,1.0,0.0,2354.0,6534.0,9919.0,6862.0,-55.0,-65.0,-74.0,-79.0,2
150,1.0,0.0,2386.0,6645.0,9912.0,6663.0,-54.0,-65.0,-74.0,-80.0,2
151,1.0,0.0,2383.0,6832.0,9916.0,6980.0,-54.0,-65.0,-74.0,-80.0,2
152,1.0,0.0,2295.0,6755.0,9973.0,7010.0,-54.0,-65.0,-74.0,-80.0,2
153,1.0,0.0,2229.0,6574.0,9916.0,6585.0,-54.0,-65.0,-73.0,-80.0,2
154,1.0,0.0,2244.0,6483.0,9884.0,6745.0,-54.0,-65.0,-73.0,-80.0,2
155,1.0,0.0,2304.0,6591.0,9912.0,6954.0,-55.0,-65.0,-73.0,-80.0,2
156,1.0,0.0,2269.0,6607.0,9919.0,6741.0,-54.0,-65.0,-73.0,-80.0,2
157,1.0,0.0,2207.0,6525.0,9912.0,7010.0,-54.0,-65.0,-74.0,-79.0,2
158,1.0,0.0,2445.0,6480.0,9907.0,6820.0,-54.0,-65.0,-74.0,-79.0,2
159,1.0,0.0,2395.0,6516.0,9879.0,7153.0,-54.0,-65.0,-74.0,-79.0,2
160,1.0,0.0,2374.0,7186.0,9996.0,7387.0,-55.0,-65.0,-75.0,-80.0,2
161,1.0,0.0,2327.0,6970.0,10029.0,7632.0,-55.0,-65.0,-75.0,-79.0,2
162,1.0,0.0,2358.0,7202.0,9975.0,8185.0,-55.0,-66.0,-74.0,-78.0,2
163,1.0,0.0,2301.0,7437.0,9968.0,8145.0,-55.0,-66.0,-74.0,-77.0,2
164,1.0,0.0,2135.0,8297.0,9945.0,6738.0,-55.0,-66.0,-73.0,-76.0,2
165,1.0,0.0,2219.0,8716.0,10090.0,7007.0,-55.0,-66.0,-74.0,-76.0,2
166,1.0,0.0,2351.0,8644.0,10029.0,7526.0,-55.0,-66.0,-74.0,-78.0,2
167,1.0,0.0,2447.0,7303.0,10057.0,7869.0,-54.0,-65.0,-75.0,-79.0,2
168,1.0,0.0,2423.0,7783.0,9975.0,7716.0,-55.0,-66.0,-75.0,-78.0,2
169,1.0,0.0,2388.0,8032.0,10062.0,7476.0,-55.0,-66.0,-74.0,-77.0,2
170,1.0,0.0,2086.0,7059.0,10057.0,6460.0,-56.0,-66.0,-74.0,-77.0,2
171,1.0,0.0,2100.0,7205.0,10031.0,6423.0,-57.0,-66.0,-74.0,-77.0,2
172,1.0,0.0,2060.0,6804.0,10085.0,6276.0,-55.0,-66.0,-73.0,-77.0,2
173,1.0,0.0,2217.0,6717.0,9909.0,6541.0,-55.0,-65.0,-74.0,-78.0,2
174,1.0,0.0,2219.0,8510.0,10029.0,6776.0,-55.0,-66.0,-74.0,-78.0,2
175,1.0,0.0,2243.0,9016.0,9940.0,7526.0,-55.0,-66.0,-74.0,-78.0,2
176,1.0,0.0,2135.0,8416.0,10029.0,8182.0,-55.0,-66.0,-74.0,-78.0,2
177,1.0,0.0,2320.0,8449.0,10029.0,7716.0,-55.0,-66.0,-75.0,-78.0,2
178,1.0,0.0,2083.0,7498.0,9916.0,7713.0,-55.0,-65.0,-75.0,-80.0,2
179,1.0,0.0,2248.0,6895.0,9968.0,7051.0,-54.0,-66.0,-75.0,-79.0,2
180,1.0,0.0,2051.0,7123.0,9973.0,6348.0,-56.0,-66.0,-74.0,-79.0,2
181,1.0,0.0,1924.0,9016.0,9825.0,6270.0,-57.0,-66.0,-74.0,-78.0,2
182,1.0,0.0,2276.0,6745.0,9937.0,6507.0,-56.0,-66.0,-74.0,-78.0,2
183,1.0,0.0,2123.0,6661.0,10036.0,6476.0,-56.0,-66.0,-74.0,-77.0,2
184,1.0,0.0,2088.0,6635.0,9973.0,6463.0,-55.0,-66.0,-74.0,-77.0,2
185,1.0,0.0,2276.0,6490.0,10057.0,6701.0,-56.0,-66.0,-74.0,-78.0,2
186,1.0,0.0,2276.0,6525.0,10001.0,7036.0,-55.0,-66.0,-74.0,-77.0,2
187,1.0,0.0,2301.0,6459.0,10001.0,6785.0,-55.0,-66.0,-74.0,-76.0,2
188,1.0,0.0,2060.0,6340.0,10029.0,7007.0,-55.0,-66.0,-73.0,-77.0,2
189,1.0,0.0,1999.0,6595.0,9963.0,6391.0,-55.0,-65.0,-73.0,-76.0,2
190,1.0,0.0,2006.0,7685.0,9973.0,6273.0,-55.0,-66.0,-74.0,-77.0,2
191,1.0,0.0,1950.0,7462.0,9919.0,6116.0,-56.0,-66.0,-74.0,-76.0,2
192,1.0,0.0,2301.0,7348.0,9884.0,6432.0,-55.0,-66.0,-75.0,-77.0,2
193,1.0,0.0,2323.0,7959.0,9879.0,6469.0,-55.0,-66.0,-75.0,-77.0,2
194,1.0,0.0,2337.0,6883.0,9996.0,6579.0,-55.0,-65.0,-75.0,-76.0,2
195,1.0,0.0,2114.0,7858.0,9879.0,6626.0,-54.0,-65.0,-75.0,-75.0,2
196,1.0,0.0,1891.0,8482.0,9853.0,6507.0,-56.0,-66.0,-75.0,-79.0,2
