,X,Y,AP1 RTT(mm),AP6 RTT(mm),AP7 RTT(mm),AP1 RSS(dBm),AP6 RSS(dBm),AP7 RSS(dBm),LOS APs
0,-2.0,-2.0,629.0,2461.0,5636.0,-45.0,-59.0,-69.0,1 6
1,-2.0,-2.0,283.0,2373.0,5551.0,-46.0,-61.0,-69.0,1 6
2,-2.0,-2.0,695.0,2533.0,5493.0,-45.0,-62.0,-69.0,1 6
3,-2.0,-2.0,280.0,2221.0,5753.0,-46.0,-62.0,-69.0,1 6
4,-2.0,-2.0,48.0,2242.0,5615.0,-46.0,-62.0,-69.0,1 6
5,-2.0,-2.0,170.0,2518.0,5352.0,-46.0,-62.0,-69.0,1 6
6,-2.0,-2.0,573.0,2312.0,5526.0,-45.0,-61.0,-69.0,1 6
7,-2.0,-2.0,196.0,2427.0,5584.0,-46.0,-61.0,-69.0,1 6
8,-2.0,-2.0,222.0,2461.0,5378.0,-46.0,-62.0,-69.0,1 6
9,-2.0,-2.0,250.0,2579.0,5228.0,-46.0,-61.0,-69.0,1 6
10,-2.0,-2.0,285.0,2539.0,5176.0,-46.0,-62.0,-69.0,1 6
11,-2.0,-2.0,346.0,2336.0,5645.0,-46.0,-61.0,-69.0,1 6
12,-2.0,-2.0,693.0,2413.0,5380.0,-46.0,-62.0,-68.0,1 6
13,-2.0,-2.0,428.0,2305.0,5174.0,-46.0,-61.0,-68.0,1 6
14,-2.0,-2.0,46.0,2366.0,5200.0,-45.0,-61.0,-69.0,1 6
15,-2.0,-2.0,402.0,2579.0,5528.0,-46.0,-62.0,-69.0,1 6
16,-2.0,-2.0,196.0,2623.0,5497.0,-46.0,-61.0,-69.0,1 6
17,-2.0,-2.0,543.0,2357.0,5493.0,-45.0,-61.0,-69.0,1 6
18,-2.0,-2.0,482.0,2134.0,5697.0,-46.0,-61.0,-69.0,1 6
19,-2.0,-2.0,280.0,2486.0,5577.0,-46.0,-62.0,-69.0,1 6
20,-2.0,-2.0,573.0,2586.0,5820.0,-46.0,-62.0,-68.0,1 6
21,-2.0,-2.0,669.0,2545.0,5732.0,-45.0,-62.0,-69.0,1 6
22,-2.0,-2.0,226.0,2537.0,5350.0,-46.0,-62.0,-69.0,1 6
23,-2.0,-2.0,27.0,2542.0,5612.0,-46.0,-62.0,-69.0,1 6
24,-2.0,-2.0,250.0,2345.0,5434.0,-45.0,-62.0,-68.0,1 6
25,-2.0,-2.0,632.0,2509.0,5758.0,-45.0,-60.0,-69.0,1 6
26,-2.0,-2.0,372.0,2508.0,5054.0,-45.0,-61.0,-68.0,1 6
27,-2.0,-2.0,278.0,2542.0,5322.0,-46.0,-62.0,-68.0,1 6
28,-2.0,-2.0,578.0,2492.0,5286.0,-46.0,-62.0,-68.0,1 6
29,-2.0,-2.0,163.0,2303.0,5289.0,-46.0,-62.0,-69.0,1 6
30,-2.0,-2.0,601.0,2548.0,5441.0,-46.0,-62.0,-69.0,1 6
31,-2.0,-2.0,287.0,2476.0,5704.0,-46.0,-62.0,-68.0,1 6
32,-2.0,-2.0,493.0,2446.0,5322.0,-46.0,-62.0,-69.0,1 6
33,-2.0,-2.0,336.0,2301.0,5202.0,-46.0,-62.0,-68.0,1 6
34,-2.0,-2.0,547.0,2570.0,5411.0,-46.0,-62.0,-68.0,1 6
35,-2.0,-2.0,348.0,2579.0,5293.0,-46.0,-62.0,-69.0,1 6
36,-2.0,-2.0,343.0,2305.0,5526.0,-46.0,-62.0,-68.0,1 6
37,-2.0,-2.0,372.0,2507.0,5558.0,-45.0,-62.0,-68.0,1 6
38,-2.0,-2.0,545.0,2338.0,5113.0,-45.0,-62.0,-68.0,1 6
39,-2.0,-2.0,133.0,2364.0,5472.0,-45.0,-62.0,-68.0,1 6
40,-2.0,-2.0,397.0,2539.0,5523.0,-45.0,-62.0,-68.0,1 6
41,-2.0,-2.0,524.0,2620.0,5026.0,-45.0,-62.0,-69.0,1 6
42,-2.0,-2.0,343.0,2454.0,5230.0,-45.0,-62.0,-68.0,1 6
43,-2.0,-2.0,318.0,2333.0,5265.0,-45.0,-62.0,-68.0,1 6
44,-2.0,-2.0,718.0,2454.0,5174.0,-45.0,-62.0,-68.0,1 6
45,-2.0,-2.0,318.0,2423.0,5699.0,-46.0,-62.0,-68.0,1 6
46,-2.0,-2.0,250.0,2508.0,5146.0,-45.0,-62.0,-69.0,1 6
47,-2.0,-2.0,374.0,2501.0,5139.0,-46.0,-62.0,-69.0,1 6
48,-2.0,-2.0,201.0,2467.0,5523.0,-45.0,-62.0,-68.0,1 6
49,-2.0,-2.0,489.0,2376.0,5554.0,-45.0,-62.0,-69.0,1 6
50,-2.0,-2.0,27.0,2298.0,5704.0,-45.0,-61.0,-68.0,1 6
51,-2.0,-2.0,592.0,2370.0,5286.0,-46.0,-62.0,-69.0,1 6
52,-2.0,-2.0,519.0,2508.0,5289.0,-46.0,-62.0,-68.0,1 6
53,-2.0,-2.0,665.0,2535.0,5729.0,-46.0,-62.0,-69.0,1 6
54,-2.0,-2.0,458.0,2479.0,5406.0,-45.0,-60.0,-68.0,1 6
55,-2.0,-2.0,484.0,2308.0,5617.0,-46.0,-62.0,-69.0,1 6
56,-2.0,-2.0,661.0,2548.0,5083.0,-45.0,-62.0,-68.0,1 6
57,-2.0,-2.0,79.0,2336.0,5406.0,-45.0,-62.0,-69.0,1 6
58,-2.0,-2.0,669.0,2258.0,5200.0,-45.0,-62.0,-69.0,1 6
59,-2.0,-2.0,372.0,2333.0,5031.0,-46.0,-61.0,-68.0,1 6
60,-2.0,-2.0,606.0,2511.0,5230.0,-45.0,-62.0,-69.0,1 6
61,-2.0,-2.0,231.0,2379.0,5293.0,-45.0,-62.0,-68.0,1 6
62,-2.0,-2.0,468.0,2293.0,5734.0,-46.0,-62.0,-69.0,1 6
63,-2.0,-2.0,632.0,2586.0,5465.0,-46.0,-62.0,-69.0,1 6
64,-2.0,-2.0,135.0,2683.0,5704.0,-46.0,-62.0,-68.0,1 6
65,-2.0,-2.0,252.0,2620.0,5202.0,-46.0,-62.0,-69.0,1 6
66,-2.0,-2.0,522.0,2511.0,5347.0,-46.0,-62.0,-69.0,1 6
67,-2.0,-2.0,407.0,2586.0,5380.0,-46.0,-62.0,-69.0,1 6
68,-2.0,-2.0,198.0,2605.0,4907.0,-46.0,-62.0,-69.0,1 6
69,-2.0,-2.0,372.0,2483.0,5376.0,-46.0,-62.0,-69.0,1 6
70,-2.0,-2.0,348.0,2533.0,5584.0,-45.0,-62.0,-69.0,1 6
71,-2.0,-2.0,259.0,2629.0,5345.0,-46.0,-62.0,-68.0,1 6
72,-2.0,-2.0,133.0,2565.0,5434.0,-46.0,-62.0,-68.0,1 6
73,-2.0,-2.0,313.0,2422.0,5612.0,-46.0,-62.0,-68.0,1 6
74,-2.0,-2.0,313.0,2366.0,5669.0,-46.0,-62.0,-68.0,1 6
75,-2.0,-2.0,292.0,2645.0,5500.0,-46.0,-62.0,-68.0,1 6
76,-2.0,-2.0,-37.0,2589.0,5385.0,-46.0,-61.0,-69.0,1 6
77,-2.0,-2.0,311.0,2458.0,6173.0,-46.0,-62.0,-68.0,1 6
78,-2.0,-2.0,491.0,2567.0,6255.0,-46.0,-61.0,-68.0,1 6
79,-2.0,-2.0,662.0,2586.0,5586.0,-46.0,-61.0,-69.0,1 6
80,-2.0,-2.0,102.0,2282.0,5172.0,-46.0,-60.0,-68.0,1 6
81,-2.0,-2.0,463.0,2576.0,5929.0,-46.0,-62.0,-69.0,1 6
82,-2.0,-2.0,606.0,2474.0,5610.0,-46.0,-62.0,-69.0,1 6
83,-2.0,-2.0,229.0,2542.0,6095.0,-46.0,-62.0,-68.0,1 6
84,-2.0,-2.0,306.0,2589.0,6008.0,-46.0,-62.0,-68.0,1 6
85,-2.0,-2.0,346.0,2648.0,6220.0,-46.0,-62.0,-69.0,1 6
86,-2.0,-2.0,545.0,2368.0,5970.0,-46.0,-60.0,-68.0,1 6
87,-2.0,-2.0,489.0,2336.0,5579.0,-46.0,-61.0,-68.0,1 6
88,-2.0,-2.0,311.0,2537.0,5139.0,-46.0,-61.0,-69.0,1 6
89,-2.0,-2.0,81.0,2390.0,5526.0,-46.0,-62.0,-69.0,1 6
90,-2.0,-2.0,430.0,2589.0,5200.0,-46.0,-61.0,-69.0,1 6
91,-2.0,-2.0,369.0,2282.0,5765.0,-46.0,-61.0,-69.0,1 6
92,-2.0,-2.0,489.0,2427.0,5350.0,-46.0,-61.0,-69.0,1 6
93,-2.0,-2.0,407.0,2308.0,5697.0,-46.0,-62.0,-69.0,1 6
94,-2.0,-2.0,428.0,2518.0,5347.0,-46.0,-61.0,-69.0,1 6
95,-2.0,-2.0,697.0,2516.0,5968.0,-46.0,-62.0,-69.0,1 6
96,-2.0,-2.0,278.0,2629.0,5347.0,-46.0,-61.0,-69.0,1 6
97,-2.0,-2.0,667.0,2502.0,5406.0,-46.0,-62.0,-69.0,1 6
98,-2.0,-2.0,545.0,2443.0,6217.0,-46.0,-62.0,-69.0,1 6
99,-2.0,-2.0,519.0,2189.0,5202.0,-46.0,-62.0,-69.0,1 6
100,-2.0,-2.0,280.0,2488.0,5235.0,-46.0,-62.0,-69.0,1 6
101,-2.0,-2.0,15.0,2312.0,5638.0,-46.0,-61.0,-69.0,1 6
102,-2.0,-2.0,639.0,2589.0,5172.0,-46.0,-61.0,-69.0,1 6
103,-2.0,-2.0,280.0,2573.0,5987.0,-46.0,-61.0,-69.0,1 6
104,-2.0,-2.0,254.0,2518.0,5352.0,-46.0,-62.0,-69.0,1 6
105,-2.0,-2.0,379.0,2658.0,5502.0,-46.0,-62.0,-69.0,1 6
106,-2.0,-2.0,280.0,2390.0,5024.0,-46.0,-62.0,-69.0,1 6
107,-2.0,-2.0,196.0,2617.0,5261.0,-46.0,-61.0,-69.0,1 6
108,-2.0,-2.0,250.0,2420.0,6014.0,-46.0,-62.0,-69.0,1 6
109,-2.0,-2.0,489.0,2603.0,5854.0,-46.0,-62.0,-68.0,1 6
110,-2.0,-2.0,367.0,2516.0,5779.0,-46.0,-62.0,-68.0,1 6
111,-2.0,-2.0,626.0,2547.0,6101.0,-46.0,-62.0,-68.0,1 6
112,-2.0,-2.0,311.0,2305.0,5289.0,-46.0,-62.0,-69.0,1 6
113,-2.0,-2.0,376.0,2279.0,5322.0,-46.0,-62.0,-69.0,1 6
114,-2.0,-2.0,222.0,2387.0,5854.0,-46.0,-62.0,-69.0,1 6
115,-2.0,-2.0,515.0,2598.0,5172.0,-46.0,-62.0,-69.0,1 6
